OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus
Otu000084	5	0.199201328554167	0.012	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacteriaceae_unclassified
Otu000120	5	0.221867008792603	0.003	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Cytophagaceae	Adhaeribacter
Otu000129	5	0.210075054715208	0.005	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000138	5	0.201943228962218	0.011	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu000142	5	0.224558899352045	0.002	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified
Otu000155	5	0.225913267561794	0.011	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas
Otu000201	5	0.257572958357278	0.002	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas
Otu000206	5	0.220422819467756	0.045	Bacteria	Acidobacteria	Acidobacteria_Gp22	Acidobacteria_Gp22_order_incertae_sedis	Acidobacteria_Gp22_family_incertae_sedis	Gp22
Otu000237	5	0.265627345983135	0.021	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
Otu000242	5	0.2239333963173	0.001	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomycetaceae_unclassified
Otu000268	5	0.247339079246885	0.001	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu000274	5	0.243538184342359	0.011	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter
Otu000279	5	0.263054540526144	0.001	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriales_unclassified	Flavobacteriales_unclassified
Otu000031	6	0.192659339208078	0.018	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu000055	6	0.213036822251045	0.001	Bacteria	Acidobacteria	Acidobacteria_Gp10	Acidobacteria_Gp10_order_incertae_sedis	Acidobacteria_Gp10_family_incertae_sedis	Gp10
Otu000082	6	0.215688775822645	0.004	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadales_unclassified	Sphingomonadales_unclassified
Otu000087	6	0.208105505068755	0.005	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu000111	6	0.203438202470738	0.024	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa
Otu000117	6	0.225968099633155	0.015	Bacteria	Acidobacteria	Acidobacteria_Gp7	Acidobacteria_Gp7_order_incertae_sedis	Acidobacteria_Gp7_family_incertae_sedis	Gp7
Otu000183	6	0.209304671407268	0.013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu000200	6	0.288073439098742	0.012	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu000224	6	0.260726591566724	0.034	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu000232	6	0.255049262547895	0.007	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu000275	6	0.233160539988669	0.013	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
